B,H,D,S,ours_ms,fi_fp8_ms,fi_fp16_ms,ours_cos,fi_fp8_cos,spd_vs_fp8,spd_vs_fp16
32,8,64,2048,0.13469695627689363,0.14200831979513168,0.16330751925706863,0.9999467134475708,0.999220609664917,1.0542800945197919,1.2124069004303326
32,8,64,4096,0.24274944067001342,0.22147071927785875,0.27303935945034025,0.999944269657135,0.9992299675941467,0.912342861291778,1.124778531710407
32,8,64,8192,0.44908543705940246,0.38522879779338837,0.49352704048156737,0.9999452829360962,0.9992368221282959,0.857807370276477,1.098960241759713
32,8,64,16384,0.7637606406211853,0.7023206424713134,0.9005875158309936,0.9999455809593201,0.9992046356201172,0.9195559513254031,1.179148895521146
32,8,64,32768,1.4799667191505432,1.4782259273529053,,,,0.998823762875805,
64,16,64,2048,0.4039679992198944,0.3693977588415146,0.43278336226940156,0.9999450445175171,0.9992291927337646,0.9144233195571465,1.0713308061657179
64,16,64,4096,0.7072153651714325,0.6892134368419647,0.8050892758369446,0.9999436736106873,0.9992106556892395,0.97454533764958,1.138393360050636
64,16,64,8192,1.4737817692756652,1.5809945559501648,,,,1.0727467179399244,
64,16,64,16384,2.9087334156036375,2.912542700767517,,,,1.0013096027100472,
64,16,64,32768,5.767331819534302,5.882368001937866,,,,1.0199461702574368,
128,16,64,2048,0.7592755198478699,0.8784076738357544,0.9259008014202118,0.9999452829360962,0.9992197751998901,1.1569024035066402,1.2194529880348668
128,16,64,4096,1.4763827300071717,1.4997299122810364,,,,1.015813773623423,
128,16,64,8192,2.905436120033264,2.9494476985931395,,,,1.0151480110873583,
128,16,64,16384,5.761003541946411,5.864284162521362,,,,1.0179275398501242,
64,16,128,2048,0.48656383872032166,0.5224038386344909,0.8491827261447906,0.9999358654022217,0.9992538690567017,1.0736593989566294,1.7452647701443826
64,16,128,4096,0.9442508864402771,0.9560268795490265,,,,1.0124712544916359,
64,16,128,8192,1.8499788784980773,1.8416844820976257,,,,0.9955164912978977,
64,16,128,16384,3.6709376192092895,3.2976486396789553,,,,0.8983123609682205,
64,16,128,32768,7.265976295471192,6.488739852905273,,,,0.8930306938861937,
